Date,Open,High,Low,Close,Adj Close,Volume
2016-12-13,121.779999,122.919998,121.760002,122.680000,108.635643,4307966
2016-12-14,122.870003,123.400002,122.389999,122.839996,108.777321,4967405
2016-12-15,122.970001,123.360001,121.769997,122.360001,108.352272,4402760
2016-12-16,122.889999,123.839996,122.540001,123.239998,109.131523,10793788
2016-12-19,123.230003,123.660004,122.769997,122.989998,108.910141,3545487
2016-12-20,123.180000,123.900002,122.709999,123.330002,109.211235,2768822
2016-12-21,123.150002,123.760002,123.099998,123.180000,109.078400,2762883
2016-12-22,123.120003,123.995003,123.089996,123.720001,109.556580,3037126
2016-12-23,123.370003,123.830002,123.070000,123.139999,109.042999,2164391
2016-12-27,123.300003,123.650002,122.970001,123.070000,108.980988,1919649
2016-12-28,122.930000,123.349998,122.610001,122.680000,108.635643,1980189
2016-12-29,122.760002,123.360001,122.760002,122.790001,108.733047,1943436
2016-12-30,122.790001,123.160004,121.440002,121.720001,107.785545,3573909
2017-01-03,121.860001,122.000000,118.959999,119.620003,105.925957,5123477
2017-01-04,119.000000,119.739998,118.180000,119.480003,105.801971,3780783
2017-01-05,119.339996,120.199997,119.099998,119.699997,105.996780,4261070
2017-01-06,118.930000,121.500000,118.519997,120.760002,106.935440,4089186
2017-01-09,120.760002,121.059998,120.330002,120.430000,106.643204,3021809
2017-01-10,120.459999,120.849998,119.730003,120.250000,106.483833,3108394
2017-01-11,120.930000,121.500000,120.620003,120.879997,107.041695,3565185
2017-01-12,120.300003,122.309998,120.199997,122.099998,108.122032,3480802
2017-01-13,122.239998,122.239998,121.099998,121.500000,107.590721,2877498
2017-01-17,120.750000,122.800003,120.699997,122.750000,108.697617,4077567
2017-01-18,122.809998,123.000000,121.800003,122.709999,108.662209,3394703
2017-01-19,122.239998,123.000000,122.040001,122.180000,108.192871,3155083
2017-01-20,122.260002,122.949997,122.014999,122.260002,108.263741,4884556
2017-01-23,121.690002,122.080002,119.820000,121.379997,107.484459,7022521
2017-01-24,121.970001,122.059998,120.519997,121.050003,107.192238,3495210
2017-01-25,121.489998,121.919998,120.949997,121.790001,107.847542,3968254
2017-01-26,121.860001,122.379997,121.760002,121.879997,107.927223,2497470
2017-01-27,122.269997,122.989998,121.480003,122.860001,108.795036,3592676
