Date,Open,High,Low,Close,Adj Close,Volume
2016-12-13,76.669998,77.449997,76.519997,77.320000,62.575123,3968706
2016-12-14,77.599998,77.940804,75.349998,75.529999,61.126492,4756011
2016-12-15,75.339996,76.110001,74.949997,76.029999,61.531147,3127527
2016-12-16,76.199997,76.800003,75.779999,76.589996,61.984341,7037998
2016-12-19,77.099998,77.239998,76.370003,77.129997,62.421375,2774996
2016-12-20,76.709999,77.583000,76.620003,77.349998,62.599430,2639181
2016-12-21,77.230003,77.660004,76.980003,77.000000,62.316151,2013230
2016-12-22,76.959999,78.050003,76.910004,77.769997,62.939320,3339006
2016-12-23,77.769997,77.830002,77.250000,77.620003,62.817936,1421414
2016-12-27,77.489998,77.730003,77.129997,77.480003,62.704628,1554468
2016-12-28,77.540001,77.620003,76.900002,77.029999,62.340454,1897615
2016-12-29,77.110001,78.169998,77.000000,78.019997,63.141647,2976489
2016-12-30,78.050003,78.239998,77.349998,77.620003,62.817936,2465556
2017-01-03,77.650002,78.019997,77.019997,77.730003,62.906956,2905885
2017-01-04,77.650002,78.349899,77.629997,77.650002,62.842197,2531056
2017-01-05,77.900002,77.959999,77.043999,77.750000,62.923145,3284643
2017-01-06,77.500000,77.870003,77.260002,77.489998,62.712715,3132399
2017-01-09,77.610001,77.730003,76.400002,76.639999,62.024818,4585676
2017-01-10,76.489998,76.830002,76.139999,76.500000,61.911503,2839994
2017-01-11,76.279999,77.199997,76.250000,77.099998,62.397091,2726221
2017-01-12,76.970001,77.610001,76.768898,77.540001,62.753193,2476286
2017-01-13,77.339996,77.480003,76.769997,77.209999,62.486111,1954531
2017-01-17,77.300003,77.830002,77.260002,77.459999,62.688446,3754997
2017-01-18,77.379997,77.910004,77.285004,77.500000,62.720798,2235709
2017-01-19,77.269997,77.570000,76.879997,77.120003,62.413288,2575474
2017-01-20,77.320000,77.580002,76.949997,77.330002,62.583221,2662840
2017-01-23,77.430000,77.680000,76.889999,77.029999,62.340454,2166778
2017-01-24,77.199997,77.330002,76.860001,77.180000,62.461826,2750783
2017-01-25,76.930000,77.120003,76.559998,77.080002,62.380898,2346970
2017-01-26,76.989998,77.230003,76.644997,77.120003,62.413288,3085410
2017-01-27,77.320000,77.629997,76.730003,76.940002,62.267620,2562052
2017-01-30,76.980003,77.519997,76.699997,77.120003,62.413288,2378276
2017-01-31,77.120003,78.559998,77.120003,78.540001,63.562477,3753652
2017-02-01,78.139999,78.260002,77.080002,77.360001,62.607517,3454980
2017-02-02,77.570000,77.940002,77.160004,77.790001,62.955513,2997371
2017-02-03,77.889999,78.040001,77.480003,77.650002,62.842197,2478070
2017-02-06,77.889999,78.037003,77.449997,77.570000,62.777477,2016971
2017-02-07,77.650002,77.859901,77.410004,77.750000,62.923145,1629926
2017-02-08,77.820000,78.709999,77.739998,78.639999,63.643414,2973576
2017-02-09,78.529999,78.835503,77.570000,77.750000,62.923145,3351432
